CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,NARIÑO,52254,EL PEÑOL,,,,,,,,,91.00,,19.00,86.00,,,1.00,23.00,34.90,51.17,97.31,55.80
52,NARIÑO,52256,EL ROSARIO,,56.79,28.23,102.00,230.00,221.00,508.00,372.00,434.00,273.00,290.00,253.00,203.00,169.00,127.00,133.00,244.55,573.94,765.36,842.49
52,NARIÑO,52260,EL TAMBO,,,,,,,7.00,,13.00,2.00,4.00,65.00,,,1.00,20.00,114.28,97.62,176.28,98.48
52,NARIÑO,52520,FRANCISCO PIZARRO (Salahonda),,13.92,37.42,45.00,16.00,107.00,153.00,192.00,501.00,407.00,189.00,189.00,207.00,59.00,61.00,66.00,91.80,157.38,258.10,304.75
52,NARIÑO,52356,IPIALES,"1,063.00","2,139.72","1,130.45",350.00,212.00,520.00,629.00,357.00,123.00,215.00,192.00,139.00,247.00,162.00,370.00,664.00,887.49,"1,132.06","1,273.67",928.49
52,NARIÑO,52381,LA FLORIDA,,,,,,,,,,,,,,,,3.00,30.06,51.43,83.95,39.87
52,NARIÑO,52385,LA LLANADA,,,,12.00,5.88,,1.00,4.00,,7.00,35.00,24.00,3.00,5.00,3.00,28.00,53.35,83.82,146.45,142.47
52,NARIÑO,52390,LA TOLA,,13.66,15.00,29.00,1.89,94.00,27.00,75.00,184.00,164.00,465.00,139.00,63.00,31.00,41.00,78.00,120.36,119.83,292.30,280.36
52,NARIÑO,52405,LEIVA,,,10.00,,41.00,40.00,58.00,,185.00,66.00,24.00,36.00,35.00,7.00,2.00,11.00,39.73,212.79,279.18,290.17
52,NARIÑO,52411,LINARES,,,,,,,43.00,,22.00,5.00,11.00,96.00,15.00,100.00,52.00,122.00,262.52,284.66,558.06,504.71
52,NARIÑO,52418,LOS ANDES (Sotomayor),,,,,,,,1.00,81.00,2.00,18.00,103.00,33.00,26.00,55.00,93.00,166.25,177.57,364.39,294.95
52,NARIÑO,52427,MAGÜÍ (Payán),,"1,708.84","1,693.61","2,398.00","3,532.00","2,175.00","2,139.00","1,002.00","2,593.00","2,240.00","1,323.00","1,207.00","1,563.00",494.00,478.00,586.00,861.96,"1,273.22","1,716.95","2,023.63"
52,NARIÑO,52435,MALLAMA (Piedrancha),,,,,0.07,,,,1.00,3.00,,,,,,,,,1.16,18.12
52,NARIÑO,52473,MOSQUERA,,,33.97,119.00,55.00,289.00,38.00,34.00,188.00,140.00,129.00,84.00,222.00,76.00,115.00,118.00,159.05,239.90,218.44,227.25
52,NARIÑO,52490,OLAYA HERRERA (Bocas de Satinga),,12.85,14.00,690.00,506.00,575.00,517.00,870.00,"1,972.00","1,286.00","1,452.00",612.00,"1,104.00",712.00,719.00,"1,445.00","2,173.01","2,572.72","3,355.53","3,504.58"
52,NARIÑO,52540,POLICARPA,339.00,12.60,15.00,29.00,215.00,236.00,212.00,545.00,773.00,221.00,389.00,235.00,202.00,165.00,301.00,199.00,326.09,733.27,960.41,936.40
52,NARIÑO,52573,PUERRES,,,1.00,1.00,,,,,,,,,,,,,,,,
52,NARIÑO,52612,RICAURTE,199.00,1.55,8.00,23.00,15.92,93.00,1.00,52.00,53.00,6.00,67.00,75.00,68.00,61.00,106.00,93.00,125.81,333.00,784.16,808.56
52,NARIÑO,52621,ROBERTO PAYÁN (San José),746.00,"1,008.37","1,048.21","2,361.00","3,509.00","2,409.00","2,265.00","1,011.00","2,896.00","2,336.00","1,539.00","1,585.00","2,058.00",460.00,858.00,"1,147.00","1,938.22","2,404.27","2,733.71","2,852.94"
52,NARIÑO,52678,SAMANIEGO,74.00,54.64,,5.00,8.94,,7.00,46.00,24.00,120.00,281.00,531.00,551.00,226.00,336.00,402.00,742.71,"1,394.60",869.33,856.85
52,NARIÑO,52693,SAN PABLO,,,,,3.91,,,1.00,,,,,,,,,,,,
52,NARIÑO,52683,SANDONÁ,,,,,,,15.00,11.00,,,,,,,,1.00,4.64,8.28,16.13,8.82
